Date;From;Message
16/12/2013;Ellis Graves;The 5th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 5) was initially named the 5thÿPoliceÿRegiment (Polizei-Regiment 5) when it was formed in 1942 from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties in Occupied Serbia.
27/04/2020;Xander York;The 46th MilitaryÿPoliceÿCommand is a command level militaryÿpoliceÿheadquarters element within the Michigan Army National Guard capable of training, deploying, and providing command and control for militaryÿpolice, corrections, and criminal investigation division (CID) units.
15/08/2018;Zoe Ray;"The National Identification Service (NIS; also called SO4 from its Specialist Operations designation) is a department of the London MetropolitanÿPoliceÿwhich provides a range of support services on behalf of the MetropolitanÿPoliceÿand otherÿpoliceÿforces."
24/02/2010;Mikolaj Nixon;The 2nd SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 2) was initially named the 2ndÿPoliceÿRegiment (Polizei-Regiment 2) when it was formed in 1942 from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties in Occupied Europe.
14/08/2020;Dulcie Holt;The center was established at Southwick Park, near Portsmouth, Hampshire, in 2005 and consolidates training for the Royal NavyÿPolice, Royal MilitaryÿPoliceÿand Royal Air ForceÿPoliceÿin a single location, assuring consistent standards across the service.
25/03/2018;Laila Reese;The ClevelandÿPoliceÿand Crime Commissioner is theÿpoliceÿand crime commissioner, an elected official tasked with setting out the way crime is tackled by ClevelandÿPoliceÿin the area of the former county of Cleveland in England.
19/11/2017;Joe Mathis;NepalÿPoliceÿFlying Squad was an elite squad of NepalÿPolice, consisting of about a dozen well trainedÿpoliceÿofficers, selected by the then IGP Khadgajeet Baral himself for the prevention of criminal activities in the Kathmandu Valley.
11/02/2012;Margaret Wiley;The 1st SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 1) was initially named the 1stÿPoliceÿRegiment (Polizei-Regiment 1) when it was formed in 1942 from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties in Occupied Europe.
16/02/2017;Gabriela Morrow;The 19th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 19) was initially named the 19thÿPoliceÿRegiment (Polizei-Regiment 19) when it was formed in 1942 from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties in Occupied Europe.
15/10/2013;Aliza Burke;PoliceÿQuest: In Pursuit of the Death Angel (also known simply asÿPoliceÿQuest) is an adventure game (andÿpoliceÿsimulation) produced by Jim Walls for Sierra On-Line, and originally released in 1987 built on their AGI.
23/06/2010;Luqman Hodges;Concerned with the high cost of British Army units acting asÿpoliceÿforces in Palestine, Winston Churchill decided that an eliteÿpoliceÿforce similar to the Royal Canadian MountedÿPoliceÿor South African Constabulary be created for Mandatory Palestine.
18/10/2015;Kade Cuevas;Gerry McNeilly (b. 1950s) is a lawyer and head of Ontario's Office of the IndependentÿPoliceÿReview Director (IPRD), a quasi-independent civilian body that investigates complaints aboutÿpoliceÿforces (municipal and the Ontario ProvincialÿPolice) in the province.
21/12/2015;Youssef Reynolds;The 6th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 6) was initially named the 6thÿPoliceÿRegiment (Polizei-Regiment 6) when it was formed in 1942 from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties on the Eastern Front.
10/09/2020;Randy Hines;The 9th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 9) was initially named the 9thÿPoliceÿRegiment (Polizei-Regiment 9) when it was formed in 1942 from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties on the Eastern Front.
18/08/2022;Karl Pruitt;Public order andÿpoliceÿbeing a state subject in India, theÿpoliceÿforce is under the direct control of the Home Minister of the state, currently Nimmakayala Chinarajappa and is headed by the Director general ofÿpolice, R.P. Thakur.
07/07/2017;Heath Mcmahon;The National Extremism Tactical Co-ordination Unit (NETCU) was a Britishÿpoliceÿorganization funded by, and reporting to, the Association of ChiefÿPoliceÿOfficers (ACPO) that coordinatesÿpoliceÿaction against groups in the United Kingdom it describes as extremist.
28/01/2014;Leyton Hudson;The West BengalÿPoliceÿhas jurisdiction concurrent with the eighteen revenue districts of the State (excluding the metropolitan city of Kolkata) which comprises one of the two generalÿpoliceÿdistricts of West Bengal as under theÿPoliceÿAct 1861.
09/10/2015;Bridie Morse;The 2015 Ottawa Larmond twins terror conspiracy allegations arise from a national-security terrorism-related criminal investigation by the Royal Canadian MountedÿPoliceÿand Integrated National Security Enforcement Teams, including the OttawaÿPoliceÿService and the Ontario ProvincialÿPolice.
15/06/2012;Andreas Mcintosh;Promoted from the rank of inspector, Davidson served as acting Chief ofÿPoliceÿfrom November 19, 1938 to June 23, 1939, and was succeeded by Arthur C. Hohmann, aÿpoliceÿlieutenant who was appointed chief by theÿPoliceÿCommission.
28/08/2016;Alistair Solis;Matthew Kirkham Needham Collens, CMG, CBE was a former Britishÿpoliceÿoffice and was the Inspector General ofÿPoliceÿof the Gold CoastÿPoliceÿService from 26 May 1949 to 31 December 1957.He was awarded CBE in 1955.
30/08/2012;Kayne Silva;She is best known as the protagonist, Commissioner Giovanna Scalise in theÿpoliceÿdrama series Distretto di Polizia (PoliceÿDistrict) and Distretto di Polizia 2 (PoliceÿDistrict 2) which was televised on Mediaset's Canale 5 from 2000 to 2001.
01/08/2012;Stephen Villa;The ColonialÿPoliceÿLong Service Medal, now known as the Overseas TerritoriesÿPoliceÿLong Service Medal, was established in 1934 to recognize long service in theÿpoliceÿforces of the colonies, dominions, and overseas territories of the British Empire.
17/05/2018;Anish Pope;The 16th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 16) was initially named the 16thÿPoliceÿRegiment (Polizei-Regiment 16) when it was formed in 1942 from existing OrderÿPoliceÿunits (Ordnungspolizei) for security duties on the Eastern Front.
17/02/2014;Sophia Cannon;The 14th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 14) was initially named the 14thÿPoliceÿRegiment (Polizei-Regiment 14) when it was formed in 1942 from existing OrderÿPoliceÿunits (Ordnungspolizei) for security duties on the Eastern Front.
12/11/2012;Amira Dejesus;The 15th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 15) was initially named the 15thÿPoliceÿRegiment (Polizei-Regiment 15) when it was formed in 1942 from existing OrderÿPoliceÿunits (Ordnungspolizei) for security duties on the Eastern Front.
29/12/2014;Roman Klein;The 17th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 17) was initially named the 17thÿPoliceÿRegiment (Polizei-Regiment 17) when it was formed in 1942 from existing OrderÿPoliceÿunits (Ordnungspolizei) for security duties on the Eastern Front.
05/11/2018;Szymon Adkins;The Telangana StateÿPoliceÿhas jurisdiction concurrent with the 31 revenue districts of the State which is headed by an officer designated as the Director General ofÿPoliceÿwho reports to the State Government through the Home (Police) Department.
08/07/2016;Chad David;The Avon and SomersetÿPoliceÿand Crime Commissioner is theÿpoliceÿand crime commissioner, an elected official tasked with setting out the way crime is tackled by Avon and SomersetÿPoliceÿin the English counties of Avon and Somerset.
16/12/2012;India Rose;Under UK labor law, theÿpoliceÿare prohibited from joining ordinary trade unions to defend pay and working conditions, by theÿPoliceÿAct 1996, because of the view that aÿpoliceÿstrike would pose an exceptional public safety risk.
20/07/2013;Miranda Green;Criminal/provincial offense occurrences which occur within the University community are investigated by the U of T CampusÿPoliceÿwho prepares jurisdictionalÿpoliceÿreports which are then submitted to Toronto or PeelÿPoliceÿas per the Special Constable Service agreement.
29/09/2015;Harmony Wilson;After serving more than three and a half decades in the IndianÿPoliceÿService and in KeralaÿPolice, He retired on 31 August 2012.He was succeeded by Sri K.S.Balasubramanian IPS as the StateÿPoliceÿChief on 1 September 2012.
18/10/2020;Blanche Thompson;After the meupep-pepÿpoliceÿprogram was launched, Adnan, who serves as Head of Education and Traffic Engineering of the AcehÿPolice, is believed to be the coordinator of theÿpoliceÿofficers and the implementation of all Polres in Aceh.
05/04/2013;Simeon Stone;"The South AfricanÿPoliceÿ(SAP) was the nationalÿpoliceÿforce and law enforcement agency in South Africa from 1913 to 1994; it was the de factoÿpoliceÿforce in the territory of South West Africa (Namibia) from 1939 to 1981."
11/02/2020;Kaden Schultz;The 28th SSÿPoliceÿRegiment Todt (German: SS-Polizei-Regiment 28 Todt) was initially named the 28thÿPoliceÿRegiment (Polizei-Regiment 28) when it was formed in mid-1942 from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties in Occupied Norway.
10/05/2020;Kallum Bryan;The 3rd SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 3) was named the 3rdÿPoliceÿRegiment (Polizei-Regiment 3) when it was temporarily formed in 1939 from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties during the invasion of Poland.
16/08/2018;Josie Conner;Martin Richards QPM (born 1959) is a retiredÿpoliceÿofficer, whose last post was as the Chief Constable of SussexÿPolice, a position in which he served from 1 October 2008 until his retirement from theÿPoliceÿservice in 2014.
19/06/2020;Ryan Gamble;Steven Sabiiti Muzeyi, is a Ugandan military officer andÿpoliceÿofficer, who serves as the Deputy Inspector General ofÿPoliceÿ(DIGP) of the UgandaÿPoliceÿForce, the second-highest rank in that branch of Uganda's government, effective 4 March 2018.
29/06/2014;Keanu Dawson;New Orleansÿpoliceÿfabricated a cover-up story for their crime, falsely reporting that sevenÿpoliceÿofficers responded to aÿpoliceÿdispatch reporting an officer down, and that at least four suspects were firing weapons at the officers upon their arrival.
08/10/2010;Leia O'Reilly;Previous to his election, Holmes served as an original member of the SeattleÿPoliceÿDepartment's Office of Professional Accountability Review Board (OPARB), a citizen review board which reviewsÿpoliceÿpolicy and procedures and maintains civilian oversight of theÿpoliceÿdepartment.
14/08/2021;Todd Savage;The Association of ChiefÿPoliceÿOfficers in Scotland (ACPOS) was the professional voice ofÿpoliceÿleadership (Chief Constables, Deputy Chief Constables and Assistant Chief Constables) in Scotland, including the Assistant Chief Constable in the British TransportÿPoliceÿresponsible for Scotland.
12/04/2013;Lilia Santos;Policeÿdivers are usually swornÿpoliceÿofficers, and may either be employed full-time as divers or as general waterÿpoliceÿofficers, or be volunteers who usually serve in other units but are called in if their diving services are required.
30/09/2014;Anna Foster;"Policeÿtactical units can be part of a:ÿpoliceÿforce under the authority of civilian officials; or Gendarmerie-styleÿpoliceÿforce under the authority of civilian officials (Interior Ministry) and/or the Defense Ministry that may have formal military status."
04/12/2012;Benjamin Sanford;The 22nd SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 22) was initially named the 4thÿPoliceÿRegiment (Polizei-Regiment 4) when it was formed in 1939 from existing OrderÿPoliceÿ(Ordnungspolizei) units for rear-area security duties during the invasion of Poland.
22/07/2010;Haider Garrison;The 25th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 25) was initially namedÿPoliceÿRegiment Lublin (Polizei-Regiment Lublin) when it was formed in late 1939 after the German invasion of Poland from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties there.
04/03/2013;Tariq Mccarty;The 24th SSÿPoliceÿRegiment (German: SS-Polizei-Regiment 24) was initially namedÿPoliceÿRegiment Radom (Polizei-Regiment Radom) when it was formed in late 1939 after the German invasion of Poland from existing OrderÿPoliceÿ(Ordnungspolizei) units for security duties there.
06/07/2014;Kane Daniels;Policeÿmemorabilia collecting is a hobby involving the collection and trading of law enforcement-related patches or badges, and other memorabilia including bobby helmets, training manuals,ÿpoliceÿmedals, and historic artifacts such as turn-of-the-century screw-based handcuffs andÿpolice-box globes.
22/01/2013;Viola Thornton;Ajit Singh (policeÿofficer) (10 April 1945 - 7 May 1991) was an IndianÿPoliceÿService officer who was killed in an encounter with militants in 1991 in Punjab, India.
10/08/2017;Jemma Haines;The team of four eliteÿpoliceÿofficers consist of two women and two men - promoting the idea that women are can work together as equals in theÿpoliceÿforce.
16/01/2019;Leanne Wilkinson;"On 15 August 2004, the 289th MilitaryÿPoliceÿCompany (-) was integrated into the Fort Myer MilitaryÿPoliceÿCompany creating ""Team 289th"" falling under The Old Guard's Special Troops Battalion."
08/08/2022;Ellie-May Haney;A native of County Fermanagh, she commanded the Devon and Cornwall Constabulary which included responsibility for 3,500ÿpoliceÿofficers, more than 2,000 civilian staff and 362ÿpoliceÿcommunity support officers.
04/07/2022;Bernard Patrick;EssexÿPoliceÿis a territorialÿpoliceÿforce responsible for policing the county of Essex, in the east of England, consisting of over 1.7 million people and around 1,400 square miles.
15/02/2015;Eugene Perkins;"In his first appearance in a novel, the 1959ÿpoliceÿprocedural Blood and Judgment, Petrella is a ""probationary"" Detective Sergeant at the (fictional) Q Division of the London MetropolitanÿPolice."
01/10/2015;Chelsey Chase;He joined the Monmouthshire Constabulary and spent a few years as aÿpoliceÿconstable on patrol, followed by a few years in the photography department atÿPoliceÿHeadquarters in Croesyceiliog.
01/05/2012;Niamh Douglas;His father, Eugene, was a seniorÿpoliceÿofficer who retired as a Commissioner ofÿPoliceÿin Colonial Nigeria in 1964 - one of the most senior African policemen of his time.
12/02/2020;Esme Valdez;HumbersideÿPoliceÿis the territorialÿpoliceÿforce responsible for policing an area covering the East Riding of Yorkshire, the city of Kingston upon Hull, North East Lincolnshire and North Lincolnshire.
09/06/2014;Adrian Hogan;He is also the Chief ofÿPoliceÿand Chief Security Officer at the University of Texas at HoustonÿPoliceÿDepartment, which is a component of the University of Texas System.
18/04/2013;Alex Washington;He was the Deputy Chief Constable of Greater ManchesterÿPoliceÿfrom 2009 to 2011 and the Assistant Commissioner for Territorial Policing in the MetropolitanÿPoliceÿService from 2011 to 2014.
05/03/2021;Abigail Williamson;Deutschen Bundestag (English:ÿPoliceÿat the Bundestag), also known as Parlamentspolizei or Bundestagspolizei, is a separateÿpoliceÿforce for the premises of the Bundestag (German parliaments lower house) in Berlin.
18/05/2018;Judith Schwartz;DILG, on the other hand, organizes, trains and equips the PNP for the performance ofÿpoliceÿfunctions as aÿpoliceÿforce that is national in scope and civilian in character.
06/06/2011;Osman Cotton;He started playing pipes in City of Blacktown Pipe Band and moved on to play with Grade 1 Australia Highlanders, Western AustraliaÿPolice, New ZealandÿPoliceÿand Bagad Cap Caval.
13/12/2011;Clyde Carroll;Geoffrey James Dear, Baron Dear, QPM, DL (born 20 September 1937) is a crossbench peer and retired Britishÿpoliceÿofficer who is a former Chief Constable of West MidlandsÿPolice.
23/02/2019;Leona Stanton;In March 2012, it was announced that the MonmouthÿPoliceÿStation was one of seventeenÿpoliceÿstations in South East Wales that would no longer be open to the public.
13/03/2015;Pippa Moody;In the year 1997, he was awarded the President'sÿPoliceÿMedal for Meritorious services and in the year 2014, he was also awarded the President'sÿPoliceÿMedal for Distinguished services.
22/02/2015;Ebony Shepard;A Specialist Firearms Officer (SFO) is a BritishÿPoliceÿofficer who has undergone training in the use ofÿpoliceÿfirearms to a more advanced level than Authorized Firearms Officers (AFOs).
15/04/2015;Brooklyn Villarreal;During the American Civil War, it suffered damage by New York Cityÿpoliceÿusing it as a barracks for militia andÿpoliceÿduring the 1863 New York City draft riots.
25/06/2020;Abdur Hendrix;ASP Mohd Zabri Bin Abdul Hamid, S.P. was aÿpoliceÿofficer most remembered as a member and officer of the Royal MalaysiaÿPoliceÿ69 Commandos of the Pasukan Gerakan Khas.
07/03/2015;Allan Hobbs;Along with all eight Scottish regionalÿpoliceÿforces and the Scottish Crime and Drug Enforcement Agency, ACPOS was merged intoÿPoliceÿScotland and ceased to operate on 1 April 2013.
31/05/2017;Carl Mccormick;Dutton was during 2011 wanted by Greater ManchesterÿPoliceÿand the Serious Organized Crime Agency, he was reported as captured byÿpoliceÿwithin Thessaloniki during the 30th of December 2015.
12/02/2015;Zara Glover;For example, because district attorneys' offices work closely withÿpolice, some activists argue that cases ofÿpoliceÿmisconduct at the state and local level should be handled by special prosecutors.
04/12/2011;Rhys Hendricks;Following his appointment, theÿpoliceÿforce was placed directly under the control of the Governor Sir William Brandford Griffith until the Colonial government started appointing Commissioners ofÿPoliceÿin 1893.
28/07/2010;Josef Collier;Following the Britishÿpoliceÿstrikes in 1918 and 1919, the government decided that it was a threat to the public to allow strikes among theÿpoliceÿforce to take place.
23/01/2016;Celeste Howe;Nash Bridges is an American televisionÿpoliceÿdrama created by Carlton Cuse starring Don Johnson and Cheech Marin as two Inspectors with the San FranciscoÿPoliceÿDepartment's Special Investigations Unit.
01/10/2016;Annabel Rivera;The New York City TransitÿPoliceÿand New York City Housing AuthorityÿPoliceÿDepartment were fully integrated into the NYPD in 1995 by New York City Mayor Rudolph W. Giuliani.
10/11/2011;Libby Villa;Ontario Civilian Commission onÿPoliceÿServices Board of Inquiry was the civilian oversight ofÿpoliceÿservices in Ontario until 1990, after which the Special Investigations Unit took over the role.
01/08/2012;Kayne Stephens;Selem was a Nigerianÿpoliceÿofficer and the second Inspector General of NigerianÿPolice, a post he held from 1966 to 1975 during the military rule of General Yakubu Gowon.
11/03/2015;Nathan Decker;Representatives from theÿPoliceÿFederation, the Superintendents' Association, ACPO and UNISON worked with the Home Office to create the College, ensuring that it represents theÿpoliceÿservice's desires and aspirations.
05/02/2011;Paige Larsen;In September, 2011, she and her family were subjected to an armed raid of their Alameda, California home, by the MartinezÿPoliceÿDepartment, the FBI, and the AlamedaÿPoliceÿDepartment.
09/05/2022;Samantha Becker;On June 20, 2017, Germanÿpoliceÿarrested the administrators (two German men) and the Dutchÿpoliceÿwere able to take complete control of the site and to impersonate the administrators.
31/01/2020;Kaylum Yang;The election was held on the same day as the election of aÿPoliceÿand Crime Commissioner for South Yorkshire as part of the 2016ÿPoliceÿand Crime Commissioner elections.
05/06/2019;Kyan Ingram;The SingaporeÿPoliceÿForce Long Service and Good Conduct Medal is awarded to officers in recognition of his long and exemplary service and good conduct in the SingaporeÿPoliceÿForce.
05/07/2016;Savanna Delgado;The United States Secret Service Uniformed Division (USSS UD) is the securityÿpoliceÿforce of the U.S. Secret Service, similar to the U.S. CapitolÿPoliceÿor DHS Federal Protective Service.
24/10/2021;Marilyn Fry;"In the tapes Fuhrman also made many references to the ""planting of evidence"" and implied thatÿpoliceÿbrutality and evidence planting were common practice in the Los AngelesÿPoliceÿDepartment."
22/02/2012;Rhea Haney;It was the first attack on a Britishÿpoliceÿofficer although in the previous eight months five Arab members of the Adenÿpoliceÿforce had been killed and six wounded.
07/04/2021;Tyler Small;SussexÿPoliceÿis the territorialÿpoliceÿforce responsible for policing the county of Sussex in southern England (consisting of East Sussex, West Sussex and the city of Brighton and Hove).
16/06/2014;Clifford Lowery;The Patrolmen's Benevolent Association of the City of New York (NYC PBA), the largest municipalÿpoliceÿunion in the United States, represents over 50,000 active and retired NYCÿpoliceÿofficers.
22/11/2018;Hanna Wang;The CountyÿPoliceÿprovides assistance to localÿpoliceÿfrom the 130 municipalities and other law enforcement in Allegheny County, with a Detective Division including General Investigations, Homicide and Narcotics units.
16/02/2021;Oskar Farrell;Swornÿpoliceÿofficers can be required to serve anywhere where aÿpoliceÿpresence is required in the Northern Territory including remote Aboriginal communities in Arnhem Land and outback Northern Territory.
13/04/2011;Warren Trujillo;The paper was driven into bankruptcy by the legal costs of defending its charge that South AfricanÿPoliceÿGeneral Lothar Neethling had supplied poison to securityÿpoliceÿto kill activists.
21/05/2019;Kirsten Gaines;The medal was replaced by the Sri LankaÿPoliceÿWeeratha Padakkama for gallantry and Sri LankaÿPoliceÿVishishta Seva Padakkama for meritorious service when Ceylon became a Republic in 1972.
07/05/2015;Bartosz Carlson;Mitchell was reelected in 1952 but then defeated when he ran for reelection to the assembly in 1953 and 1975.1956, Mitchell became aÿpoliceÿofficer with the EsquimaltÿPoliceÿDepartment.
18/09/2014;Lennon Li;"Shortly after entering into this position, Martinez engendered some controversy by referring to a critical review of theÿpoliceÿdepartment as ""nitpicky"", although the comment endeared Martinez to theÿpolice."
25/10/2015;Colin Young;The Maryland Transit AdministrationÿPoliceÿ(MTAÿPolice) is the law enforcement branch of the Maryland Transit Administration directed to patrol public transportation and related facilities in and around Baltimore, Maryland.
23/06/2022;Yash Day;Policeÿrecords show a total of 1,346 policemen were killed in the line of duty while 10,698 communist members were killed, of which 5,972 were killed by theÿpoliceÿforce.
20/05/2011;Ruairi Crosby;PoliceÿWomen of Maricopa County is the second of TLC'sÿPoliceÿWomen reality documentary series, which follows four female members of the Maricopa County Sheriff's Office in Maricopa County, Arizona.
02/10/2018;Leland Villarreal;Theÿpoliceÿsent the wife of aÿpoliceÿofficer to Bosse to ask for poison to murder her husband, and Bosse provided her with what proved to be deadly poison.
28/08/2017;Myles Hughes;The Shelter Island TownÿPoliceÿDepartment, commonly referred to as SIPD, is a professionalÿpoliceÿorganization responsible for primary jurisdictional law enforcement for the town of Shelter Island, New York.
12/04/2014;Aditya Davila;This merged the eight regionalÿpoliceÿforces in Scotland (including GrampianÿPolice), together with the Scottish Crime and Drug Enforcement Agency, into a single service covering the whole of Scotland.
23/03/2016;Jaden Maxwell;Two years later, violence in the school had reached such a level that a cityÿpoliceÿofficial said Twin Towers was responsible for moreÿpoliceÿcomplaints than any other school.
07/03/2021;Gracie Bennett;This is a list ofÿpoliceÿofficers from the Royal MalaysiaÿPoliceÿwho were killed in the line of duty, based on official records from the year 1915 to date.
20/07/2017;Haseeb Rose;Assisting theÿpoliceÿare a range of governmental and private sector organizations and companies that engage in specialized roles and allow theÿpoliceÿto concentrate on their main public policing roles.
27/06/2017;Kendra Bonner;Early indications of this in theÿpoliceÿinvestigation were not followed through, and the failures of theÿpoliceÿinvestigation would go on to form part of the wider scandal in 2011.
27/04/2022;Conrad Callahan;Activists covered their bodies with padding so as to resist the blows ofÿpolice, to push throughÿpoliceÿlines, and to march together in large blocks for mutual protection during demonstrations.
11/01/2020;Harun Owens;"Following the Second World War, two comrades go their separate ways; one joins the MetropolitanÿPoliceÿwhile the other begins aÿpoliceÿcareer but becomes a racketeer in post-war London."
01/08/2022;Kathleen Hardy;Johnson was an Army Reserve Afghan War veteran who was reportedly angry overÿpoliceÿshootings of black men and stated that he wanted to kill white people, especially whiteÿpoliceÿofficers.
18/12/2016;Camilla Fuller;It was not a detective force, investigations being carried out by the InvestigativeÿPoliceÿof Peru founded in the same year, while the old Republican Guard still had certainÿpoliceÿmissions.
30/05/2010;Marnie Berry;However, boroughs maintaining a separateÿpoliceÿforce and having a population of 5,000 or less were to receive no financial support, thereby encouraging smaller forces to consolidate with the countyÿpolice.
11/12/2011;Trey Ramirez;He was aÿpoliceÿcaptain when he was appointed chief, replacing Chief August Vollmer, the formerÿPoliceÿChief of Berkeley, California who had served as interim chief for exactly one year.
27/09/2021;Miriam O'Quinn;He is believed to have been involved in military operations and extortions, including the 1981 bombing of the Sibasaÿpoliceÿstation which killed twoÿpoliceÿofficers and crippled a third one.
03/07/2010;Julie Aguirre;Delrish Moss is a law enforcement veteran appointed in March 2016 asÿPoliceÿChief of FergusonÿPoliceÿDepartment (Missouri) of Ferguson, Missouri a suburb of St. Louis known for racial unrest.
19/12/2019;Aiden Tyler;Alan Godfrey is a retiredÿpoliceÿconstable of the West Yorkshire MetropolitanÿPoliceÿForce who claims to have seen an unidentified flying object and been the victim of an alien abduction.
04/05/2015;Anastasia Price;Dinesh Reddy joined the IndianÿPoliceÿService (IPS) on July 30, 1977 from the Andhra Pradesh Cadre and he retired serving as the Director General of Andhra PradeshÿPoliceÿin 2013.
09/07/2021;Emilio Underwood;However, a few months later, in July 1985, Taylor was appointed Assistant Commissioner (deputy head) of the City of LondonÿPoliceÿand in 1989 Deputy Chief Constable of Thames ValleyÿPolice.
16/05/2014;Leslie Cain;I killed aÿPoliceÿOfficer in Red Bluff, California in a motion to bring attention to, and halt, theÿpolice-state tactics that have come to be used throughout our country.
06/05/2014;Ethel Hartley;101 is theÿpoliceÿSingle Non-Emergency Number in the United Kingdom which automatically connects the caller to their localÿpoliceÿforce, in a similar system to the 999 emergency number.
15/04/2017;Hashim Shepard;Aÿpoliceÿdog is essentially a detection dog that is used as a resource forÿpoliceÿin specific scenarios such as conducting drug raids, finding missing criminals, and locating stashed currency.
19/02/2017;Hasnain Baker;It was created under law #19 of May 12, 1977, known as Ley de la Policia Municipal (MunicipalÿPoliceÿLaw) creating the localÿpoliceÿforces in each city of Puerto Rico.
11/05/2019;David Key;In The Washington Post the next day, Dedman and Postÿpoliceÿreporter Jeffrey Goldberg recounted the events: Districtÿpoliceÿhave started a new push on prostitution - all the way to Virginia.
02/12/2014;Isabel Burch;He became the 34th Inspector-General ofÿPoliceÿand the highest rankingÿpoliceÿofficer in Sri Lanka on 20 April 2016, recommended by the newly appointed constitutional Council of Sri Lanka.
23/07/2017;Samira Bush;All law enforcement functions across all modes of public transport are the responsibility of 610 NSWÿPoliceÿTransport Command officers, supported by their Local Area and other NSWÿPoliceÿCommand colleagues.
10/11/2013;Kabir Cantrell;Colombian NationalÿPoliceÿSpecial Operations Command (or Comando de Operaciones Especiales in Spanish), also known as COPES, is a subdivision of the Colombian NationalÿPoliceÿunder the Directorate for Citizens Security.
24/04/2013;Ellie Terry;The New York StateÿPoliceÿTroop C scandal involved the fabrication of evidence by members of the New York StateÿPolice, which was used to convict suspects in Central New York.
24/07/2017;Scarlet Bender;Railroadÿpoliceÿor railwayÿpoliceÿ(called Bahnpolizei in Germany, Austria and the German-speaking parts of Switzerland) are persons responsible for the protection of railroad (or railway) properties, facilities and personnel.
24/11/2018;Phoenix Armstrong;NAMP is dedicated to ensuring the Muslim community better understands the work of theÿPoliceÿand work tirelessly on improving trust and confidence in theÿpoliceÿservice amongst the Muslim community.
01/11/2010;Ciaran Mccarty;Originally aÿpoliceÿofficer, he started playing club rugby for South WalesÿPoliceÿRFC, and later Newport RFC, Cardiff RFC, Pontypridd RFC (he also coached the team in 2000) and Bristol.
17/08/2016;Kasey Sanders;The National Capital RegionÿPoliceÿOffice (NCRPO) is a division of the Philippine NationalÿPoliceÿ(PNP) which has jurisdiction over Metro Manila, which is also known as the National Capital Region.
15/04/2022;Rex Sharp;So fullÿpoliceÿprotection for advocate Mansur but Charlie throws a bomb and divertÿpolice, mean while Nandhini enters the house and shoots down mansur, who was about to drink water.
20/11/2015;Brooklyn Roy;The Central CityÿPoliceÿDepartment (CCPD) is a fictionalÿpoliceÿdepartment servicing Central City, as depicted in comic books published by DC Comics, in particular those tied into the Flash books.
02/07/2022;Tiago Morris;The widow of a slainÿpoliceÿofficer, she rose through the ranks of the ManilaÿPoliceÿDepartment, and in 1983 won an award for arresting three murder suspects on Mindoro Island.
24/02/2022;Lia Rollins;"Norman Kamaru (born Gorontalo, 27 November 1985; also known as Briptu Norman) is a resigned Indonesianÿpoliceÿofficer from the Brimob corps of the Indonesian NationalÿPolice, currently a singer/entertainer."
12/11/2022;Lorcan Tran;The Airport ArmedÿPoliceÿBattalion (APBn) is the specialized unit of BangladeshÿPoliceÿresponsible for security in the Hazrat Shahjalal International Airport of Dhaka, the largest and busiest airport of Bangladesh.
16/10/2012;Abbas Macias;They are still actively involved in providing gang training to schools, businesses, federal and localÿpoliceÿand prosecutors across the country, U.S. military personnel, andÿpoliceÿdepartments in countries in Europe.
12/03/2018;Bradley Thornton;In law enforcement in the United States, the phrase gypsy cop is slang for aÿpoliceÿofficer who frequently transfers betweenÿpoliceÿdepartments, often because of misconduct or poor job performance.
22/12/2017;Tobias Mendez;Legislation normally requiresÿpoliceÿor court authorities to bring the individual to a hospital for treatment as soon as practical and not hold them in locations such as aÿpoliceÿstation.
24/03/2019;Arnold Mason;In certain localÿpoliceÿdepartments in the United States, the Fatal Accident Reconstruction Team (F.A.R.T.) is a group ofÿpoliceÿofficers dedicated to investigating motor vehicle accidents that result in death.
18/11/2011;Renee Kaufman;The rank usually refers to the head of a large regional command within aÿpoliceÿservice, and in many countries refers to the most senior officer of the entire nationalÿpolice.
25/05/2020;Maximus Newman;The election was held on the same day as the election of aÿPoliceÿand Crime Commissioner for the West Midlands as part of the 2016ÿPoliceÿand Crime Commissioner elections.
